match_id,date,season,team,opponent,player,minute,x,y,result,situation,shot_type
1,2025-09-04,2025-26,PSV Eindhoven,Paris Saint-Germain,Hirving Lozano,81,88.53,76.43,saved,counter_attack,left_foot
1,2025-09-04,2025-26,PSV Eindhoven,Paris Saint-Germain,Sergiño Dest,70,71.03,21.76,goal,open_play,right_foot
1,2025-09-04,2025-26,PSV Eindhoven,Paris Saint-Germain,Walter Benítez,37,75.14,54.09,saved,free_kick,bicycle_kick
1,2025-09-04,2025-26,PSV Eindhoven,Paris Saint-Germain,Joey Veerman,17,95.0,40.59,saved,penalty,left_foot
1,2025-09-04,2025-26,PSV Eindhoven,Paris Saint-Germain,Ismael Saibari,80,74.11,65.03,saved,free_kick,bicycle_kick
1,2025-09-04,2025-26,PSV Eindhoven,Paris Saint-Germain,Matteo Darmian,65,69.21,58.62,goal,open_play,header
1,2025-09-04,2025-26,PSV Eindhoven,Paris Saint-Germain,Malik Tillman,3,60.21,53.45,missed,free_kick,right_foot
1,2025-09-04,2025-26,PSV Eindhoven,Paris Saint-Germain,Sergiño Dest,39,75.13,51.37,saved,open_play,right_foot
1,2025-09-04,2025-26,Paris Saint-Germain,PSV Eindhoven,Achraf Hakimi,67,76.37,69.12,missed,counter_attack,right_foot
1,2025-09-04,2025-26,Paris Saint-Germain,PSV Eindhoven,Ousmane Dembélé,19,55.15,0.86,missed,open_play,right_foot
1,2025-09-04,2025-26,Paris Saint-Germain,PSV Eindhoven,Vitinha,46,61.03,19.09,missed,open_play,left_foot
1,2025-09-04,2025-26,Paris Saint-Germain,PSV Eindhoven,Kylian Mbappé,79,69.93,75.0,missed,open_play,left_foot
1,2025-09-04,2025-26,Paris Saint-Germain,PSV Eindhoven,Gianluigi Donnarumma,51,60.64,47.85,saved,open_play,bicycle_kick
1,2025-09-04,2025-26,Paris Saint-Germain,PSV Eindhoven,Mário Hermoso,89,58.67,41.71,missed,open_play,bicycle_kick
1,2025-09-04,2025-26,Paris Saint-Germain,PSV Eindhoven,Achraf Hakimi,58,56.38,36.57,blocked,counter_attack,left_foot
1,2025-09-04,2025-26,Paris Saint-Germain,PSV Eindhoven,Marco Asensio,39,51.36,36.36,missed,open_play,header
1,2025-09-04,2025-26,Paris Saint-Germain,PSV Eindhoven,Neymar,2,66.25,36.2,missed,open_play,left_foot
1,2025-09-04,2025-26,Paris Saint-Germain,PSV Eindhoven,Mário Hermoso,71,89.06,37.94,blocked,corner,header
1,2025-09-04,2025-26,Paris Saint-Germain,PSV Eindhoven,Vitinha,85,82.12,46.74,goal,open_play,right_foot
1,2025-09-04,2025-26,Paris Saint-Germain,PSV Eindhoven,Ousmane Dembélé,83,59.48,29.37,missed,free_kick,right_foot
1,2025-09-04,2025-26,Paris Saint-Germain,PSV Eindhoven,Ousmane Dembélé,42,78.36,32.76,saved,corner,bicycle_kick
1,2025-09-04,2025-26,Paris Saint-Germain,PSV Eindhoven,Marco Asensio,40,80.19,53.82,missed,free_kick,header
1,2025-09-04,2025-26,Paris Saint-Germain,PSV Eindhoven,Achraf Hakimi,67,75.77,58.99,saved,corner,right_foot
1,2025-09-04,2025-26,Paris Saint-Germain,PSV Eindhoven,Sergei Milinković-Savić,44,75.03,40.46,saved,counter_attack,right_foot
2,2025-09-05,2025-26,Bayern Munich,Atlético Madrid,Jamal Musiala,6,95.0,44.69,missed,counter_attack,left_foot
2,2025-09-05,2025-26,Bayern Munich,Atlético Madrid,Alphonso Davies,88,82.04,50.97,missed,counter_attack,bicycle_kick
2,2025-09-05,2025-26,Bayern Munich,Atlético Madrid,Joshua Kimmich,22,72.31,92.33,blocked,penalty,header
2,2025-09-05,2025-26,Bayern Munich,Atlético Madrid,Matthijs de Ligt,25,68.17,26.11,missed,open_play,header
2,2025-09-05,2025-26,Bayern Munich,Atlético Madrid,Dayot Upamecano,21,73.01,38.48,saved,corner,header
2,2025-09-05,2025-26,Bayern Munich,Atlético Madrid,Alphonso Davies,3,70.77,0.0,goal,corner,right_foot
2,2025-09-05,2025-26,Bayern Munich,Atlético Madrid,Kingsley Coman,85,94.49,62.79,goal,free_kick,right_foot
2,2025-09-05,2025-26,Bayern Munich,Atlético Madrid,Dayot Upamecano,5,52.2,42.59,missed,penalty,right_foot
2,2025-09-05,2025-26,Bayern Munich,Atlético Madrid,Héctor Bellerín,55,76.83,87.0,blocked,penalty,header
2,2025-09-05,2025-26,Bayern Munich,Atlético Madrid,Manuel Neuer,61,71.88,41.73,blocked,corner,header
2,2025-09-05,2025-26,Bayern Munich,Atlético Madrid,Matthijs de Ligt,64,80.95,58.16,missed,free_kick,bicycle_kick
2,2025-09-05,2025-26,Bayern Munich,Atlético Madrid,Harry Kane,16,79.85,37.88,saved,open_play,right_foot
2,2025-09-05,2025-26,Bayern Munich,Atlético Madrid,Héctor Bellerín,22,68.22,78.86,goal,counter_attack,right_foot
2,2025-09-05,2025-26,Bayern Munich,Atlético Madrid,Jamal Musiala,36,78.69,29.06,blocked,free_kick,header
2,2025-09-05,2025-26,Bayern Munich,Atlético Madrid,Harry Kane,48,58.54,34.34,saved,open_play,right_foot
2,2025-09-05,2025-26,Bayern Munich,Atlético Madrid,Serge Gnabry,46,64.09,40.84,saved,counter_attack,bicycle_kick
